Previous_GPA,Mid_Mark,Assignment_Mark,Attendance_Percentage,Study_Hours_Per_Week,Sleep_Hours_Per_Day,Stress_Level,Future_GPA
2.37,15.0,14.0,63.0,42.0,7,3.0,3.7
2.6,12.0,15.0,69.0,47.0,7,2.0,3.7
2.7,14.0,15.0,63.0,35.0,8,2.0,3.3
3.69,20.0,15.0,81.0,64.0,8,2.0,4.0
2.22,9.0,10.0,61.0,55.0,9,2.0,3.0
3.39,16.0,15.0,89.0,67.0,8,1.0,4.0
2.58,12.0,12.0,63.0,44.0,7,4.0,3.0
2.47,14.0,12.0,58.0,41.0,6,2.0,3.0
1.52,10.0,10.0,43.0,28.0,6,3.0,2.3
3.0,16.0,16.0,72.0,37.0,8,2.0,4.0
3.25,16.0,15.0,83.0,70.0,8,1.0,4.0
3.2,17.0,16.0,75.0,66.0,7,2.0,4.0
2.56,10.0,12.0,66.0,54.0,7,3.0,3.3
3.3,18.0,17.0,83.0,53.0,7,1.0,4.0
2.17,10.0,10.0,63.0,43.0,4,3.0,2.7
3.46,18.0,14.0,86.0,72.0,8,2.0,4.0
1.69,10.0,11.0,40.0,14.0,10,4.0,2.0
2.38,16.0,10.0,53.0,48.0,5,3.0,3.3
1.62,9.0,7.0,40.0,36.0,6,2.0,2.3
2.15,14.0,12.0,63.0,47.0,4,4.0,3.3
1.71,9.0,9.0,46.0,28.0,6,2.0,2.3
2.66,13.0,14.0,61.0,41.0,8,1.0,2.7
3.16,14.0,14.0,72.0,64.0,9,3.0,4.0
2.54,14.0,16.0,70.0,53.0,8,4.0,4.0
2.69,16.0,15.0,66.0,50.0,8,4.0,3.7
2.71,14.0,13.0,53.0,46.0,8,3.0,3.3
2.86,17.0,16.0,77.0,57.0,7,2.0,4.0
3.28,17.0,17.0,82.0,63.0,7,3.0,4.0
1.62,8.0,12.0,45.0,29.0,5,3.0,2.3
3.01,13.0,16.0,87.0,57.0,7,3.0,4.0
3.36,14.0,17.0,79.0,45.0,9,3.0,4.0
3.02,17.0,19.0,80.0,53.0,9,2.0,4.0
2.91,14.0,16.0,78.0,55.0,9,3.0,4.0
1.81,11.0,8.0,40.0,26.0,5,3.0,2.3
2.92,13.0,15.0,77.0,58.0,8,2.0,4.0
2.62,6.0,14.0,57.0,40.0,7,3.0,3.0
3.03,15.0,14.0,76.0,35.0,8,1.0,4.0
1.63,3.0,4.0,40.0,30.0,6,5.0,1.3
2.62,15.0,17.0,78.0,61.0,9,4.0,4.0
3.11,15.0,13.0,75.0,45.0,7,2.0,4.0
3.7,16.0,17.0,91.0,60.0,7,1.0,4.0
3.45,20.0,20.0,81.0,71.0,7,2.0,4.0
2.14,14.0,12.0,62.0,39.0,7,3.0,3.0
3.32,16.0,13.0,92.0,76.0,7,1.0,4.0
1.53,8.0,9.0,44.0,51.0,10,3.0,2.0
4.0,20.0,20.0,92.0,65.0,9,2.0,4.0
3.89,20.0,18.0,94.0,80.0,7,1.0,4.0
3.0,17.0,15.0,74.0,56.0,9,1.0,4.0
1.9,11.0,12.0,48.0,14.0,6,2.0,2.0
2.8,15.0,15.0,80.0,36.0,7,2.0,4.0
3.09,20.0,13.0,72.0,56.0,9,2.0,4.0
2.78,9.0,15.0,72.0,42.0,7,2.0,3.7
3.08,13.0,14.0,62.0,61.0,7,3.0,4.0
3.55,14.0,18.0,80.0,52.0,9,2.0,4.0
2.45,13.0,15.0,62.0,42.0,6,2.0,3.3
2.65,16.0,15.0,65.0,25.0,9,1.0,3.3
2.51,12.0,15.0,61.0,56.0,8,1.0,3.7
2.81,12.0,17.0,70.0,45.0,9,1.0,3.7
3.1,13.0,15.0,74.0,64.0,8,2.0,4.0
1.75,7.0,10.0,40.0,30.0,5,5.0,1.7
2.42,12.0,13.0,67.0,67.0,7,2.0,3.7
3.91,17.0,17.0,96.0,58.0,7,2.0,4.0
2.48,12.0,11.0,52.0,52.0,6,3.0,3.0
1.67,9.0,13.0,42.0,40.0,10,2.0,2.7
2.21,13.0,15.0,48.0,33.0,6,1.0,3.3
2.94,14.0,13.0,77.0,59.0,8,2.0,3.7
1.38,9.0,4.0,49.0,23.0,10,3.0,1.7
2.66,17.0,15.0,67.0,44.0,8,2.0,3.7
0.57,6.0,2.0,40.0,10.0,5,5.0,0.0
3.38,13.0,20.0,89.0,80.0,7,1.0,4.0
3.3,9.0,11.0,64.0,46.0,7,4.0,3.0
3.47,16.0,15.0,79.0,65.0,7,1.0,4.0
2.13,9.0,7.0,61.0,54.0,6,4.0,2.3
2.88,14.0,14.0,69.0,51.0,7,4.0,4.0
3.75,18.0,17.0,95.0,80.0,7,3.0,4.0
1.98,12.0,5.0,47.0,23.0,10,3.0,2.0
3.31,15.0,14.0,86.0,66.0,8,1.0,4.0
1.54,9.0,5.0,40.0,24.0,6,3.0,1.3
0.72,6.0,5.0,40.0,18.0,6,4.0,1.0
3.08,12.0,11.0,72.0,69.0,7,4.0,4.0
2.67,13.0,15.0,66.0,63.0,8,2.0,4.0
2.0,14.0,11.0,61.0,50.0,10,3.0,3.7
2.78,11.0,12.0,69.0,48.0,9,1.0,3.3
2.51,14.0,8.0,63.0,46.0,5,2.0,3.0
2.62,16.0,15.0,78.0,58.0,8,2.0,4.0
2.9,17.0,16.0,84.0,68.0,9,2.0,4.0
3.33,17.0,15.0,83.0,79.0,7,2.0,4.0
3.02,7.0,14.0,70.0,61.0,9,2.0,3.3
3.37,14.0,14.0,81.0,50.0,8,1.0,4.0
2.96,17.0,18.0,69.0,49.0,8,1.0,4.0
2.74,17.0,13.0,66.0,51.0,9,1.0,3.7
2.24,13.0,14.0,63.0,63.0,6,3.0,3.7
0.98,5.0,2.0,40.0,10.0,10,5.0,0.0
2.87,14.0,12.0,62.0,50.0,7,2.0,3.3
1.97,13.0,14.0,60.0,52.0,8,3.0,3.7
1.68,8.0,9.0,43.0,21.0,10,4.0,1.7
2.96,16.0,15.0,84.0,65.0,9,1.0,4.0
2.43,13.0,13.0,65.0,46.0,9,4.0,3.3
1.82,10.0,9.0,40.0,31.0,5,3.0,2.3
3.15,14.0,15.0,86.0,47.0,7,1.0,4.0
3.08,17.0,13.0,78.0,56.0,8,4.0,4.0
3.28,18.0,17.0,87.0,67.0,8,1.0,4.0
1.71,9.0,10.0,51.0,36.0,5,1.0,2.3
3.22,16.0,13.0,73.0,56.0,7,3.0,4.0
1.76,10.0,10.0,51.0,55.0,6,2.0,2.7
1.02,0.0,3.0,40.0,10.0,10,5.0,0.0
2.33,12.0,11.0,55.0,42.0,10,4.0,3.0
2.55,10.0,13.0,63.0,41.0,7,4.0,3.0
3.7,18.0,18.0,96.0,54.0,8,1.0,4.0
2.83,13.0,12.0,69.0,55.0,7,4.0,3.7
3.5,17.0,15.0,85.0,74.0,8,3.0,4.0
2.23,13.0,11.0,55.0,48.0,5,4.0,3.3
3.55,15.0,18.0,71.0,58.0,8,1.0,4.0
2.06,10.0,13.0,45.0,45.0,6,3.0,2.7
3.04,16.0,14.0,80.0,80.0,8,2.0,4.0
1.82,11.0,13.0,42.0,44.0,10,2.0,3.0
3.18,18.0,18.0,85.0,66.0,7,1.0,4.0
2.53,12.0,12.0,58.0,35.0,8,4.0,3.3
2.11,7.0,11.0,49.0,41.0,6,4.0,2.3
1.83,8.0,12.0,58.0,37.0,6,3.0,2.3
3.28,16.0,16.0,80.0,61.0,8,2.0,4.0
2.08,11.0,6.0,52.0,48.0,10,5.0,2.7
2.8,13.0,12.0,72.0,53.0,9,3.0,3.7
2.16,11.0,9.0,62.0,37.0,5,1.0,3.0
2.52,12.0,13.0,60.0,53.0,7,1.0,3.0
2.57,13.0,12.0,70.0,44.0,8,3.0,3.3
2.43,12.0,13.0,54.0,34.0,6,2.0,2.7
2.21,8.0,11.0,42.0,34.0,6,4.0,2.7
1.67,11.0,8.0,55.0,19.0,5,4.0,2.0
2.89,15.0,16.0,60.0,41.0,7,2.0,3.7
2.54,16.0,11.0,67.0,46.0,9,2.0,3.7
4.0,18.0,20.0,83.0,63.0,9,1.0,4.0
2.54,12.0,16.0,73.0,38.0,8,4.0,3.7
1.75,9.0,6.0,42.0,35.0,5,2.0,1.7
3.7,16.0,16.0,89.0,62.0,8,1.0,4.0
1.79,9.0,9.0,45.0,33.0,5,4.0,2.3
3.19,14.0,15.0,77.0,48.0,9,2.0,4.0
2.17,9.0,16.0,54.0,41.0,5,4.0,3.0
3.36,14.0,16.0,74.0,48.0,8,2.0,3.7
2.49,13.0,15.0,57.0,34.0,8,4.0,3.7
1.99,10.0,8.0,51.0,45.0,6,3.0,2.3
1.74,8.0,11.0,47.0,24.0,6,4.0,1.7
2.1,8.0,11.0,54.0,42.0,6,2.0,2.3
1.88,11.0,12.0,51.0,46.0,5,2.0,3.0
3.91,18.0,18.0,98.0,64.0,8,1.0,4.0
2.71,12.0,16.0,72.0,23.0,7,3.0,3.0
2.85,14.0,15.0,56.0,50.0,7,2.0,3.3
3.36,16.0,15.0,80.0,77.0,8,2.0,4.0
1.99,10.0,10.0,53.0,47.0,5,2.0,2.3
2.49,11.0,12.0,53.0,41.0,6,3.0,3.0
2.41,10.0,9.0,57.0,32.0,6,4.0,2.7
1.77,13.0,12.0,45.0,31.0,10,3.0,3.0
3.64,18.0,18.0,97.0,66.0,8,2.0,4.0
2.47,11.0,10.0,56.0,55.0,6,3.0,3.0
1.9,9.0,6.0,51.0,35.0,5,3.0,2.0
2.05,11.0,12.0,58.0,42.0,7,4.0,3.0
2.26,10.0,15.0,54.0,56.0,10,2.0,3.3
1.97,8.0,12.0,52.0,23.0,10,4.0,2.3
2.96,16.0,18.0,74.0,47.0,8,4.0,4.0
1.64,7.0,9.0,40.0,35.0,5,4.0,1.7
2.66,16.0,15.0,65.0,50.0,8,3.0,4.0
3.52,18.0,15.0,84.0,72.0,9,1.0,4.0
3.73,18.0,18.0,93.0,53.0,8,1.0,4.0
3.65,17.0,18.0,95.0,75.0,7,2.0,4.0
3.01,14.0,9.0,64.0,33.0,9,2.0,3.0
2.26,12.0,12.0,68.0,51.0,9,2.0,3.7
3.16,15.0,20.0,76.0,54.0,8,2.0,4.0
3.11,18.0,15.0,75.0,49.0,9,3.0,4.0
1.76,14.0,11.0,48.0,47.0,5,4.0,2.7
1.47,9.0,8.0,40.0,25.0,5,3.0,1.3
2.18,9.0,15.0,54.0,49.0,4,4.0,3.0
3.8,17.0,14.0,98.0,69.0,8,3.0,4.0
2.9,8.0,14.0,76.0,45.0,8,3.0,3.0
2.09,11.0,9.0,51.0,18.0,5,3.0,2.3
2.22,8.0,11.0,45.0,42.0,6,4.0,2.7
3.4,17.0,16.0,74.0,46.0,7,3.0,4.0
3.33,15.0,15.0,72.0,53.0,7,2.0,4.0
2.26,11.0,12.0,65.0,44.0,7,4.0,3.3
2.92,12.0,10.0,72.0,34.0,7,3.0,3.3
2.51,12.0,11.0,59.0,45.0,6,4.0,3.3
2.42,13.0,9.0,61.0,45.0,7,3.0,3.0
1.83,3.0,3.0,45.0,33.0,5,3.0,1.7
1.79,13.0,9.0,42.0,33.0,5,3.0,2.3
2.25,13.0,11.0,68.0,36.0,6,3.0,3.0
2.18,11.0,13.0,60.0,59.0,5,2.0,3.0
2.1,9.0,11.0,47.0,46.0,6,1.0,2.0
3.2,15.0,13.0,78.0,56.0,8,1.0,4.0
2.58,12.0,13.0,67.0,49.0,8,2.0,3.7
3.46,16.0,16.0,84.0,71.0,8,1.0,4.0
2.41,13.0,13.0,64.0,41.0,8,2.0,3.7
2.06,8.0,14.0,47.0,41.0,5,2.0,2.7
2.02,12.0,9.0,53.0,30.0,5,4.0,2.7
1.18,8.0,5.0,40.0,17.0,6,4.0,0.0
2.73,16.0,17.0,63.0,63.0,8,3.0,4.0
1.72,14.0,7.0,41.0,51.0,5,3.0,3.0
2.94,16.0,13.0,83.0,52.0,8,2.0,4.0
3.11,16.0,14.0,73.0,59.0,8,1.0,4.0
3.17,12.0,14.0,69.0,64.0,8,3.0,3.7
3.01,18.0,17.0,89.0,49.0,7,3.0,4.0
2.3,19.0,11.0,65.0,41.0,7,2.0,3.7
2.75,14.0,12.0,62.0,50.0,8,2.0,3.7
2.07,10.0,12.0,55.0,36.0,10,3.0,3.0
1.95,9.0,10.0,51.0,48.0,6,4.0,2.7
2.62,13.0,12.0,58.0,54.0,6,2.0,3.0
3.13,12.0,11.0,71.0,54.0,8,3.0,3.3
2.63,15.0,15.0,64.0,60.0,7,1.0,3.7
2.99,15.0,15.0,63.0,46.0,9,4.0,3.7
3.09,11.0,12.0,82.0,61.0,8,2.0,3.7
2.58,12.0,12.0,60.0,30.0,10,3.0,2.7
4.0,15.0,20.0,99.0,65.0,8,1.0,4.0
2.88,11.0,12.0,66.0,55.0,8,1.0,3.3
3.18,14.0,14.0,74.0,46.0,8,4.0,4.0
1.51,2.0,7.0,40.0,30.0,6,3.0,1.3
2.49,10.0,11.0,59.0,38.0,8,3.0,2.3
3.01,11.0,13.0,65.0,42.0,8,3.0,3.3
3.23,19.0,16.0,75.0,42.0,9,1.0,4.0
1.86,15.0,11.0,46.0,46.0,5,2.0,3.0
3.33,12.0,16.0,78.0,79.0,8,2.0,4.0
1.43,11.0,6.0,41.0,54.0,4,3.0,2.3
2.22,12.0,10.0,59.0,46.0,6,2.0,3.3
2.65,12.0,13.0,59.0,42.0,8,2.0,3.0
3.59,18.0,17.0,95.0,74.0,7,1.0,4.0
2.6,11.0,14.0,70.0,45.0,9,3.0,3.3
3.83,18.0,19.0,93.0,63.0,9,3.0,4.0
1.47,7.0,7.0,40.0,24.0,4,3.0,1.3
2.18,8.0,11.0,55.0,28.0,5,2.0,2.3
2.76,15.0,15.0,70.0,38.0,8,2.0,3.7
1.72,10.0,12.0,43.0,34.0,6,4.0,2.3
3.41,17.0,18.0,83.0,65.0,8,2.0,4.0
1.68,15.0,8.0,42.0,33.0,6,4.0,2.3
3.24,18.0,17.0,66.0,67.0,9,2.0,4.0
1.98,11.0,11.0,53.0,41.0,10,2.0,3.0
1.89,11.0,10.0,52.0,49.0,6,3.0,3.0
3.11,18.0,17.0,87.0,64.0,7,3.0,4.0
1.9,12.0,12.0,51.0,47.0,4,2.0,3.3
2.99,15.0,15.0,68.0,70.0,8,2.0,4.0
2.66,16.0,18.0,63.0,66.0,7,3.0,4.0
2.87,14.0,16.0,60.0,61.0,7,2.0,3.7
3.58,16.0,17.0,93.0,80.0,7,2.0,4.0
2.79,18.0,11.0,73.0,41.0,8,2.0,3.7
2.58,16.0,13.0,71.0,50.0,7,2.0,3.7
2.91,16.0,13.0,68.0,27.0,9,1.0,3.3
2.01,10.0,8.0,43.0,45.0,6,2.0,2.0
2.8,17.0,16.0,75.0,60.0,7,2.0,4.0
2.77,14.0,12.0,72.0,68.0,7,2.0,4.0
3.58,17.0,16.0,78.0,58.0,7,1.0,4.0
3.69,18.0,20.0,97.0,80.0,8,2.0,4.0
2.61,15.0,14.0,73.0,43.0,8,2.0,3.3
1.94,10.0,10.0,40.0,29.0,6,4.0,2.3
2.58,12.0,14.0,70.0,48.0,8,3.0,3.7
2.06,9.0,14.0,63.0,51.0,6,4.0,3.0
2.39,7.0,11.0,51.0,49.0,10,3.0,2.3
2.31,10.0,13.0,67.0,36.0,10,1.0,2.7
2.75,19.0,14.0,60.0,48.0,8,3.0,4.0
2.36,13.0,12.0,45.0,43.0,10,4.0,2.7
2.81,11.0,13.0,72.0,58.0,8,2.0,3.7
1.25,6.0,5.0,40.0,45.0,10,4.0,1.3
0.91,5.0,8.0,40.0,11.0,6,5.0,1.0
2.5,13.0,10.0,61.0,32.0,7,3.0,3.3
1.5,10.0,12.0,43.0,23.0,6,2.0,2.0
2.0,15.0,10.0,49.0,36.0,4,4.0,3.0
1.76,4.0,7.0,40.0,33.0,10,1.0,1.3
1.55,10.0,5.0,40.0,27.0,5,4.0,1.3
2.56,13.0,15.0,67.0,61.0,7,2.0,4.0
2.11,11.0,8.0,58.0,40.0,5,3.0,3.0
2.67,15.0,16.0,68.0,53.0,8,3.0,4.0
2.57,13.0,15.0,74.0,53.0,8,2.0,3.3
2.33,7.0,9.0,54.0,50.0,10,5.0,2.3
3.5,20.0,18.0,89.0,60.0,8,1.0,4.0
2.75,9.0,13.0,67.0,58.0,9,3.0,3.3
3.89,17.0,20.0,92.0,67.0,7,2.0,4.0
3.52,19.0,17.0,81.0,69.0,9,2.0,4.0
2.88,17.0,12.0,66.0,52.0,8,2.0,3.7
2.7,15.0,12.0,67.0,48.0,7,3.0,3.0
2.44,11.0,10.0,54.0,49.0,5,2.0,3.0
2.07,10.0,11.0,61.0,46.0,6,4.0,2.7
2.6,14.0,12.0,57.0,47.0,7,3.0,3.3
3.05,19.0,18.0,77.0,74.0,7,2.0,4.0
1.78,11.0,9.0,55.0,34.0,6,3.0,2.3
2.66,14.0,12.0,67.0,61.0,8,2.0,4.0
2.04,9.0,6.0,48.0,42.0,6,4.0,2.0
2.35,10.0,18.0,69.0,52.0,8,2.0,3.7
2.5,17.0,14.0,71.0,36.0,7,1.0,4.0
2.84,14.0,12.0,81.0,50.0,9,2.0,4.0
3.06,14.0,14.0,64.0,53.0,7,4.0,3.7
2.29,8.0,14.0,61.0,34.0,10,5.0,2.7
2.54,14.0,13.0,60.0,38.0,5,2.0,3.7
2.49,11.0,16.0,64.0,42.0,8,3.0,3.3
2.67,13.0,12.0,59.0,31.0,8,2.0,3.7
2.91,15.0,14.0,71.0,56.0,8,3.0,3.7
2.66,10.0,13.0,76.0,43.0,7,1.0,3.3
2.77,19.0,18.0,75.0,61.0,9,2.0,4.0
1.96,10.0,7.0,45.0,39.0,6,3.0,2.3
2.64,13.0,12.0,64.0,66.0,8,2.0,4.0
2.08,9.0,12.0,54.0,58.0,6,3.0,3.0
2.48,16.0,12.0,63.0,28.0,7,3.0,3.3
1.97,11.0,7.0,45.0,29.0,4,5.0,2.0
2.75,13.0,15.0,63.0,39.0,7,4.0,3.7
1.91,10.0,9.0,49.0,29.0,4,3.0,2.0
2.2,12.0,9.0,51.0,26.0,5,3.0,2.0
3.7,20.0,19.0,90.0,77.0,8,2.0,4.0
3.05,13.0,11.0,74.0,47.0,7,3.0,3.7
3.22,14.0,17.0,85.0,73.0,9,4.0,4.0
2.05,11.0,11.0,40.0,32.0,5,2.0,2.3
3.32,17.0,16.0,85.0,70.0,9,2.0,4.0
2.55,11.0,11.0,66.0,32.0,7,4.0,2.3
2.22,13.0,13.0,46.0,46.0,6,3.0,3.0
3.14,15.0,19.0,62.0,56.0,8,3.0,4.0
2.99,12.0,12.0,67.0,55.0,8,5.0,3.3
3.48,17.0,14.0,83.0,64.0,8,1.0,4.0
1.91,8.0,10.0,42.0,52.0,6,4.0,2.3
2.01,9.0,12.0,49.0,46.0,5,1.0,2.7
2.23,15.0,12.0,55.0,50.0,5,2.0,3.3
2.54,13.0,15.0,69.0,49.0,7,2.0,3.3
2.57,10.0,12.0,59.0,40.0,6,1.0,3.0
2.51,13.0,15.0,62.0,37.0,8,1.0,3.3
2.32,14.0,9.0,60.0,45.0,9,2.0,3.3
2.95,19.0,14.0,76.0,48.0,8,2.0,4.0
2.3,10.0,10.0,64.0,58.0,5,1.0,3.3
2.64,14.0,8.0,59.0,37.0,6,3.0,3.0
2.84,10.0,11.0,60.0,39.0,8,2.0,2.7
2.82,11.0,10.0,68.0,63.0,7,4.0,3.3
2.49,13.0,10.0,67.0,47.0,7,2.0,3.7
1.93,8.0,12.0,54.0,60.0,10,4.0,2.7
2.43,13.0,12.0,68.0,59.0,7,2.0,3.7
2.65,10.0,16.0,67.0,50.0,9,3.0,3.3
2.28,11.0,11.0,50.0,28.0,5,5.0,2.3
1.51,8.0,7.0,45.0,36.0,10,4.0,2.0
2.79,12.0,12.0,69.0,52.0,7,1.0,3.3
2.65,11.0,13.0,67.0,69.0,7,3.0,3.7
2.56,13.0,11.0,67.0,40.0,7,2.0,3.3
2.22,12.0,13.0,56.0,53.0,10,1.0,3.3
3.63,19.0,15.0,83.0,72.0,8,1.0,4.0
1.73,11.0,11.0,45.0,26.0,5,3.0,2.3
2.8,12.0,11.0,67.0,19.0,7,3.0,3.0
2.37,11.0,13.0,56.0,35.0,6,2.0,2.7
1.17,5.0,9.0,40.0,23.0,6,3.0,1.0
2.61,12.0,10.0,61.0,56.0,9,1.0,3.3
1.9,16.0,10.0,45.0,28.0,6,1.0,2.3
3.04,13.0,15.0,72.0,78.0,9,1.0,4.0
3.11,20.0,16.0,80.0,32.0,7,1.0,4.0
2.83,16.0,11.0,76.0,47.0,7,3.0,3.7
3.27,14.0,15.0,81.0,39.0,9,2.0,4.0
2.35,11.0,12.0,55.0,33.0,6,2.0,3.0
3.07,13.0,17.0,77.0,52.0,8,2.0,4.0
3.27,20.0,16.0,76.0,67.0,7,2.0,4.0
3.34,15.0,20.0,75.0,52.0,8,1.0,4.0
3.81,16.0,17.0,85.0,67.0,7,1.0,4.0
1.31,9.0,9.0,40.0,33.0,5,2.0,2.0
2.85,13.0,13.0,65.0,52.0,8,2.0,3.3
1.07,1.0,5.0,40.0,30.0,10,3.0,0.0
3.43,15.0,18.0,82.0,63.0,7,2.0,4.0
2.43,8.0,8.0,55.0,30.0,5,4.0,2.3
3.11,12.0,17.0,63.0,66.0,7,1.0,4.0
2.84,10.0,10.0,64.0,38.0,5,4.0,2.7
2.76,13.0,13.0,63.0,55.0,8,1.0,4.0
3.08,13.0,20.0,73.0,64.0,8,4.0,4.0
1.7,12.0,7.0,49.0,44.0,5,3.0,2.7
2.03,11.0,11.0,51.0,25.0,6,2.0,2.7
2.45,14.0,8.0,59.0,33.0,9,3.0,3.0
2.79,17.0,14.0,75.0,46.0,8,1.0,4.0
2.56,12.0,12.0,61.0,37.0,7,2.0,2.7
2.57,13.0,10.0,58.0,66.0,8,2.0,3.7
3.6,19.0,17.0,89.0,74.0,7,2.0,4.0
1.35,6.0,6.0,40.0,38.0,5,5.0,1.3
2.79,15.0,16.0,75.0,48.0,9,2.0,4.0
2.9,14.0,12.0,60.0,50.0,9,3.0,3.3
2.68,15.0,15.0,82.0,59.0,7,2.0,4.0
3.25,20.0,15.0,66.0,55.0,8,2.0,4.0
3.48,20.0,16.0,91.0,57.0,9,2.0,4.0
2.01,8.0,9.0,52.0,41.0,4,4.0,2.0
3.09,16.0,16.0,87.0,48.0,7,3.0,4.0
2.45,16.0,14.0,75.0,40.0,7,1.0,3.7
2.14,6.0,11.0,61.0,39.0,6,3.0,2.3
3.25,17.0,17.0,76.0,59.0,9,1.0,4.0
1.85,6.0,7.0,45.0,35.0,10,4.0,2.0
2.96,16.0,18.0,80.0,67.0,7,3.0,4.0
2.22,12.0,15.0,57.0,26.0,7,1.0,3.0
3.76,20.0,16.0,80.0,74.0,7,1.0,4.0
2.33,11.0,10.0,46.0,39.0,5,4.0,2.7
2.36,14.0,13.0,53.0,38.0,5,1.0,3.3
2.41,10.0,12.0,63.0,37.0,5,2.0,2.7
2.58,13.0,11.0,65.0,40.0,6,4.0,3.3
1.62,4.0,9.0,41.0,39.0,5,3.0,2.0
2.28,15.0,14.0,66.0,32.0,8,1.0,3.7
1.9,11.0,10.0,58.0,28.0,5,4.0,2.7
3.53,12.0,19.0,80.0,62.0,7,2.0,4.0
3.0,17.0,17.0,69.0,54.0,7,2.0,4.0
1.56,10.0,10.0,40.0,26.0,6,4.0,2.0
2.74,14.0,14.0,60.0,46.0,8,3.0,3.7
2.68,12.0,13.0,69.0,57.0,9,2.0,3.7
1.97,14.0,12.0,60.0,34.0,10,5.0,3.0
3.29,17.0,17.0,88.0,74.0,9,2.0,4.0
2.4,13.0,13.0,52.0,45.0,7,4.0,3.3
2.6,15.0,15.0,65.0,54.0,7,1.0,4.0
2.25,15.0,14.0,65.0,58.0,6,4.0,3.7
3.5,14.0,15.0,78.0,50.0,8,2.0,4.0
3.83,17.0,20.0,100.0,65.0,7,1.0,4.0
2.09,10.0,12.0,62.0,44.0,6,2.0,3.0
2.49,14.0,15.0,71.0,60.0,9,2.0,4.0
2.62,15.0,13.0,69.0,65.0,9,3.0,4.0
3.15,17.0,17.0,63.0,49.0,7,1.0,4.0
2.67,14.0,13.0,65.0,38.0,7,2.0,3.3
1.95,9.0,11.0,42.0,10.0,10,2.0,1.3
1.91,9.0,9.0,49.0,47.0,10,1.0,3.0
2.82,18.0,18.0,68.0,47.0,9,2.0,4.0
1.62,6.0,8.0,47.0,39.0,6,3.0,1.7
3.07,18.0,15.0,79.0,64.0,9,3.0,4.0
2.73,14.0,14.0,66.0,37.0,9,2.0,3.3
2.95,17.0,14.0,75.0,43.0,7,4.0,4.0
2.91,12.0,14.0,68.0,70.0,7,1.0,4.0
2.63,12.0,13.0,54.0,37.0,8,2.0,3.0
2.81,16.0,14.0,81.0,65.0,7,2.0,4.0
1.97,8.0,11.0,50.0,34.0,5,2.0,2.0
2.79,14.0,10.0,67.0,61.0,8,2.0,3.7
2.68,15.0,15.0,71.0,51.0,8,3.0,3.7
2.05,12.0,7.0,57.0,17.0,6,4.0,2.3
2.44,12.0,11.0,60.0,40.0,9,4.0,2.7
3.55,19.0,20.0,89.0,65.0,8,1.0,4.0
2.44,17.0,18.0,68.0,53.0,7,2.0,4.0
1.71,9.0,5.0,53.0,37.0,5,2.0,2.3
2.0,12.0,11.0,51.0,51.0,10,2.0,3.0
3.17,18.0,15.0,78.0,68.0,7,2.0,4.0
1.77,10.0,7.0,46.0,19.0,5,4.0,2.0
3.5,18.0,13.0,79.0,78.0,8,2.0,4.0
2.15,7.0,9.0,58.0,39.0,5,3.0,2.0
2.53,13.0,15.0,65.0,61.0,7,3.0,3.7
2.37,11.0,14.0,54.0,58.0,7,1.0,3.3
2.3,16.0,15.0,64.0,53.0,7,3.0,3.3
3.15,14.0,12.0,80.0,44.0,9,1.0,3.3
3.72,20.0,15.0,100.0,66.0,7,2.0,4.0
3.59,16.0,18.0,99.0,78.0,8,2.0,4.0
3.04,16.0,20.0,73.0,79.0,7,3.0,4.0
1.49,4.0,1.0,40.0,19.0,5,5.0,0.0
2.42,13.0,13.0,72.0,51.0,7,1.0,3.3
3.16,16.0,20.0,85.0,54.0,9,2.0,4.0
2.42,8.0,10.0,65.0,42.0,5,2.0,2.3
3.88,20.0,20.0,96.0,78.0,7,1.0,4.0
2.94,15.0,13.0,64.0,34.0,8,1.0,3.7
2.47,11.0,13.0,67.0,48.0,9,2.0,3.3
2.09,11.0,9.0,53.0,34.0,10,2.0,2.0
2.38,10.0,10.0,61.0,55.0,8,3.0,3.0
2.94,17.0,12.0,82.0,64.0,8,1.0,4.0
2.66,14.0,9.0,65.0,37.0,7,3.0,3.0
2.24,13.0,9.0,55.0,33.0,6,3.0,2.0
3.57,20.0,15.0,94.0,61.0,9,2.0,4.0
3.58,15.0,17.0,84.0,64.0,8,1.0,4.0
2.6,13.0,14.0,63.0,26.0,6,3.0,2.7
3.4,16.0,17.0,80.0,64.0,7,1.0,4.0
2.26,11.0,10.0,61.0,46.0,6,3.0,2.7
2.78,15.0,13.0,77.0,73.0,8,3.0,4.0
2.07,12.0,12.0,56.0,28.0,10,3.0,3.0
2.45,17.0,15.0,62.0,52.0,9,4.0,4.0
3.2,16.0,17.0,80.0,47.0,9,4.0,4.0
1.42,6.0,7.0,40.0,33.0,6,3.0,1.3
2.13,11.0,9.0,64.0,51.0,10,1.0,3.0
2.24,11.0,8.0,61.0,56.0,6,3.0,2.7
1.83,9.0,12.0,51.0,38.0,5,2.0,2.3
1.83,11.0,7.0,45.0,32.0,4,3.0,2.0
0.92,9.0,6.0,42.0,20.0,6,3.0,1.7
2.04,10.0,11.0,58.0,40.0,5,3.0,2.7
4.0,19.0,20.0,98.0,76.0,7,1.0,4.0
1.45,5.0,6.0,42.0,21.0,6,2.0,1.3
2.72,12.0,14.0,54.0,43.0,8,1.0,3.3
